Date,DHB,Active,Recovered,Deceased,Total
2021-02-24,Canterbury,0,156,12,168
2021-02-24,Bay of Plenty,0,48,0,48
2021-02-24,Managed Isolation & Quarantine,51,583,1,635
2021-02-24,Total,62,2277,26,2365
2021-02-25,Auckland,0,225,1,226
2021-02-25,Whanganui,0,9,0,9
2021-02-25,West Coast,0,4,1,5
2021-02-25,Waitemata,0,296,4,300
2021-02-25,Wairarapa,0,8,0,8
2021-02-25,Waikato,0,193,2,195
2021-02-25,Taranaki,0,16,0,16
2021-02-25,Tairawhiti,0,4,0,4
2021-02-25,Southern,0,214,2,216
2021-02-25,South Canterbury,0,17,0,17
2021-02-25,Northland,0,29,0,29
2021-02-25,Nelson Marlborough,0,49,0,49
2021-02-25,Mid Central,0,32,0,32
2021-02-25,Lakes,0,16,0,16
2021-02-25,Hutt Valley,0,24,0,24
2021-02-25,Hawke's Bay,0,44,0,44
2021-02-25,Counties Manukau,11,216,1,228
2021-02-25,Capital and Coast,0,94,2,96
2021-02-25,Canterbury,0,156,12,168
2021-02-25,Bay of Plenty,0,48,0,48
2021-02-25,Managed Isolation & Quarantine,54,583,1,638
2021-02-25,Total,65,2277,26,2368
2021-02-26,Auckland,0,225,1,226
2021-02-26,Whanganui,0,9,0,9
2021-02-26,West Coast,0,4,1,5
2021-02-26,Waitemata,0,296,4,300
2021-02-26,Wairarapa,0,8,0,8
2021-02-26,Waikato,0,193,2,195
2021-02-26,Taranaki,0,16,0,16
2021-02-26,Tairawhiti,0,4,0,4
2021-02-26,Southern,0,214,2,216
2021-02-26,South Canterbury,0,17,0,17
2021-02-26,Northland,0,29,0,29
2021-02-26,Nelson Marlborough,0,49,0,49
2021-02-26,Mid Central,0,32,0,32
2021-02-26,Lakes,0,16,0,16
2021-02-26,Hutt Valley,0,24,0,24
2021-02-26,Hawke's Bay,0,44,0,44
2021-02-26,Counties Manukau,11,217,1,229
2021-02-26,Capital and Coast,0,94,2,96
2021-02-26,Canterbury,0,156,12,168
2021-02-26,Bay of Plenty,0,48,0,48
2021-02-26,Managed Isolation & Quarantine,56,583,1,640
2021-02-26,Total,67,2278,26,2371
2021-02-27,Auckland,0,225,1,226
2021-02-27,Whanganui,0,9,0,9
2021-02-27,West Coast,0,4,1,5
2021-02-27,Waitemata,0,296,4,300
2021-02-27,Wairarapa,0,8,0,8
2021-02-27,Waikato,0,193,2,195
2021-02-27,Taranaki,0,16,0,16
2021-02-27,Tairawhiti,0,4,0,4
2021-02-27,Southern,0,214,2,216
